Date,Open,High,Low,Close,Volume,Adj Close
2016-04-12,168.26,168.28,168.24,168.24,000,168.24
2016-04-11,168.30,168.34,168.27,168.30,000,168.30
2016-04-08,168.19,168.32,168.19,168.32,000,168.32
2016-04-07,168.30,168.31,168.11,168.11,000,168.11
2016-04-06,168.06,168.30,168.06,168.28,000,168.28
2016-04-05,168.36,168.36,168.31,168.31,000,168.31
2016-04-04,168.31,168.34,168.28,168.32,500,168.32
2016-03-31,168.30,168.34,168.28,168.31,000,168.31
2016-03-30,168.36,168.36,168.30,168.30,000,168.30
2016-03-29,168.14,168.32,168.14,168.32,000,168.32
2016-03-24,168.20,168.20,168.12,168.12,000,168.12
2016-03-23,168.12,168.18,168.11,168.18,000,168.18
2016-03-22,168.23,168.48,168.14,168.48,000,168.48
2016-03-21,168.18,168.21,168.14,168.18,000,168.18
2016-03-18,168.19,168.19,168.13,168.13,000,168.13
2016-03-17,168.14,168.17,168.07,168.17,000,168.17
2016-03-16,168.01,168.03,168.00,168.00,000,168.00
2016-03-15,168.11,168.11,167.94,167.94,000,167.94
2016-03-14,168.14,168.18,168.11,168.12,000,168.12
2016-03-11,167.71,168.08,167.71,168.08,000,168.08
2016-03-10,168.22,168.30,167.90,167.90,000,167.90
2016-03-09,168.24,168.25,168.12,168.12,000,168.12
2016-03-08,168.32,168.33,168.32,168.33,000,168.33
2016-03-07,168.23,168.25,168.17,168.17,000,168.17
2016-03-04,168.30,168.30,168.12,168.12,000,168.12
2016-03-03,168.13,168.30,168.13,168.30,000,168.30
2016-03-02,168.24,168.32,168.18,168.18,000,168.18
2016-02-29,167.93,168.22,167.93,168.22,000,168.22
2016-02-26,167.87,167.91,167.87,167.90,000,167.90
2016-02-25,167.77,167.86,167.77,167.86,000,167.86
2016-02-24,167.78,167.80,167.75,167.75,000,167.75
2016-02-23,167.70,167.73,167.63,167.73,000,167.73
2016-02-22,167.76,167.76,167.52,167.76,000,167.76
2016-02-19,167.72,167.72,167.61,167.62,000,167.62
2016-02-18,167.59,167.67,167.58,167.65,000,167.65
2016-02-17,167.44,167.47,167.42,167.47,000,167.47
2016-02-16,167.52,167.56,167.41,167.41,000,167.41
2016-02-15,167.46,167.61,167.46,167.55,400,167.55
2016-02-12,167.36,167.44,167.36,167.39,000,167.39
2016-02-11,167.52,167.52,167.39,167.42,000,167.42
2016-02-10,167.61,167.61,167.57,167.57,000,167.57
2016-02-09,167.58,167.59,167.42,167.48,100,167.48
2016-02-08,167.72,167.75,167.54,167.54,000,167.54
2016-02-05,167.83,167.84,167.74,167.74,000,167.74
2016-02-04,167.87,167.87,167.78,167.81,000,167.81
2016-02-03,167.83,167.94,167.82,167.94,000,167.94
2016-02-02,167.89,167.89,167.87,167.87,000,167.87
2016-02-01,167.92,167.92,167.81,167.81,000,167.81
2016-01-29,167.80,167.93,167.80,167.93,000,167.93
2016-01-28,167.66,167.66,167.57,167.59,000,167.59
2016-01-27,167.62,167.64,167.52,167.57,000,167.57
